                           TOPIK I Vocabulary（Beginner）


No.          한글               English         No.          한글                English
895   식당          restaurant, cafeteria     935   아니오         no
896   식사          meal                      936   아니요         no
897   식탁          table                     937   아들          son
898   신           god, new                  938   아랍어         Arabic
899   신다          put on, wear              939   아래          bottom, under
900   신문          newspaper                 940   아름답다        beautiful
901   신발          shoes, footwear           941   아마          maybe, perhaps
902   신청서         application forms         942   아무          any
903   신청하다        put in for, apply for     943   아버님         father
904   실례          excuse                    944   아버지         father
905   실례하다        be excused                945   아빠          dad
906   실수          mistake, failure          946   아시아         Asia
907   싫다          hate                      947   아이          child
908   싫어하다        dislike, hate             948   아이스크림       ice cream
909   심하다         severe, terrible          949   아저씨         uncle, mister
910   십           10                        950   아주          very, completely
911   십이월         December                  951   아주머니        old lady, madame, aunt
912   십일월         November                  952   아줌마         old lady, madame, aunt
913   싱겁다         not salty                 953   아직          yet, still
914   싶다          want                      954   아침          morning, breakfast
915   싸다          cheap, wrap               955   아침밥         breakfast
916   싸우다         fight                     956   아침식사        breakfast
917   쌀           rice                      957   아파트         apartment, mansion
918   쌀밥          cooked rice               958   아프다         painful, sick
919   쌓이다         stack up, pile up         959   아프리카        Africa
920   썰다          chop, cut                 960   아홉          9
                           TOPIK I Vocabulary（Beginner）


No.          한글                English    No.         한글                 English
961   아흔          90                      1001 어른          adult
962   악기          musical instrument      1002 어리다         young
963   안           within, not ~           1003 어린이         child
964   안경          glasses                 1004 어머          oh, well
965   안내하다        guide, invite           1005 어머니         mother
966   안녕하세요       hi, hello               1006 어머님         mother
967   안녕하십니까      hello                   1007 어서          hurry, quickly
968   안다          embrace, cradle         1008 어울리다        look good on, befit
969   안전하다        safe                    1009 어저께         yesterday
970   앉다          sit                     1010 어제          yesterday
971   알다          know                    1011 어젯밤         last night
972   알리다         inform                  1012 언니          sister (as seen from the younger sister)

973   알맞다         fit, appropriate        1013 언제          when
974   알았습니다       I understood.           1014 언제나         always, anytime
975   앞           front, previous         1015 얼굴          face
976   애           child                   1016 얼마나         how much
977   액세서리        accessory               1017 얼음          ice
978   야구          baseball                1018 엄마          mom
979   야채          vegetable               1019 없다          none, no, not
980   약           about, medicine         1020 없이          without
981   약간          slightly, a little      1021 에어컨         air conditioner
982   약국          pharmacy                1022 엔           yen
983   약사          pharmacist              1023 엘리베이터       elevator
984   약속          appointment, promise    1024 여권          passport
985   얇다          thin                    1025 여기          here
986   양           amount, sheep           1026 여기저기        here and there
987   양말          socks                   1027 여덟          8
988   양복          suit                    1028 여동생         younger sister
989   양식          form, western style     1029 여든          80
990   양파          onion                   1030 여러          various, many
991   얘기하다        talk                    1031 여러가지        several, various
992   어깨          shoulder                1032 여러분         everyone, ladies and gentlemen
993   어느          which, how              1033 여름          summer
994   어둡다         dark                    1034 여보세요        hello
995   어디          where                   1035 여섯          6
